t (s),T0 (C),T1 (C)
4925,111,35
4930,111,35
4935,110,35
4940,110,35
4945,110,35
4950,110,35
4955,110,35
4960,109,35
4965,109,35
4970,109,35
4975,109,35
4980,109,35
4985,109,35
4990,109,35
4995,108,35
5000,108,35
5005,108,35
5010,108,35
5015,108,35
5020,108,35
5025,107,35
5030,107,35
5035,107,35
5040,107,35
5045,107,35
5050,107,35
5055,106,35
5060,106,35
5065,106,35
5070,106,35
5075,106,35
5080,105,35
5085,105,35
5090,105,35
5095,105,35
5100,105,35
5105,105,35
5110,104,35
5115,104,35
5120,104,35
5125,104,35
5130,104,35
5135,104,35
5140,104,35
5145,104,35
5150,103,35
5155,103,35
5160,103,35
5165,103,35
5170,103,35
5175,103,35
5180,102,35
5185,102,35
5190,102,35
5195,102,35
5200,102,35
5205,102,35
5210,101,35
5215,101,35
5220,101,35
5225,101,35
5230,101,35
5235,101,35
5240,101,35
5245,100,35
5250,101,35
5255,100,35
5260,100,35
5265,100,35
5270,100,35
5275,100,35
5280,99,35
5285,99,35
5290,99,35
5295,99,35
5300,99,35
5305,99,35
5310,98,35
5315,98,35
5320,98,35
5325,98,35
5330,98,35
5335,98,35
5340,98,35
5345,98,35
5350,97,35
5355,97,35
5360,97,35
5365,97,35
5370,97,35
5375,97,35
5380,96,35
5385,96,35
5390,96,35
5395,96,35
5400,96,35
5405,96,35
5410,95,35
5415,95,35
5420,95,35
5425,95,35
5430,95,35
5435,95,35
5440,95,35
5445,94,35
5450,94,35
5455,94,35
5460,94,35
5465,94,35
5470,94,35
5475,94,35
5480,94,35
5485,93,35
5490,93,35
5495,93,35
5500,93,35
5505,93,35
5510,93,35
5515,93,35
5520,93,35
5525,92,35
5530,92,35
5535,92,35
5540,92,35
5545,92,35
5550,92,35
5555,91,35
5560,91,35
5565,91,35
5570,91,35
5575,91,35
5580,91,35
5585,90,35
5590,90,35
5595,90,35
5600,90,35
5605,90,35
5610,90,35
5615,90,35
5620,89,35
5625,89,35
5630,89,35
5635,89,35
5640,89,35
5645,89,35
5650,89,35
5655,88,35
5660,88,35
5665,88,35
5670,88,35
5675,88,35
5680,88,35
5685,88,35
5690,88,34
5695,87,35
5700,87,35
5705,87,35
5710,87,34
5715,87,34
5720,87,34
5725,87,34
5730,86,34
5735,86,34
5740,86,34
5745,86,34
5750,86,34
5755,86,34
5760,86,34
5765,85,34
5770,85,34
5775,85,34
5780,85,34
5785,85,34
5790,85,34
5795,85,34
5800,85,34
5805,84,34
5810,84,34
5815,84,34
5820,84,34
5825,84,34
5830,84,34
5835,84,34
5840,84,34
5845,83,34
5850,83,34
5855,83,34
5860,83,34
5865,83,34
5870,83,34
5875,83,34
5880,83,34
5885,83,34
5890,82,34
5895,82,34
5900,82,34
5905,82,34
5910,82,34
5915,82,34
5920,82,34
5925,82,34
5930,81,34
5935,81,34
5940,81,34
5945,81,34
5950,81,34
5955,81,34
5960,81,34
5965,81,34
5970,80,34
5975,80,34
5980,80,34
5985,80,34
5990,80,34
5995,80,34
6000,80,34
6005,80,34
6010,80,34
6015,79,34
6020,79,34
6025,79,34
6030,79,34
6035,79,34
6040,79,34
6045,79,34
6050,79,34
6055,78,34
6060,78,34
6065,78,34
6070,78,34
6075,78,34
6080,78,34
6085,78,34
6090,77,34
6095,77,34
6100,77,34
6105,77,34
6110,77,34
6115,77,34
6120,77,34
6125,77,34
6130,77,34
6135,77,34
6140,77,34
